"","ACCIDENT_NO","X","Y","OBJECTID","ACCIDENT_D","ACC_TIME","NO_VEHICLE","ACCIDENT_T","ACC_T_DESC","ABS_CODE","PERSON_ID","AGE","RD_USER_T","RD_U_DESC","SEX","LOCATION_D","NODE_ID.x","LOCATION_T","NODE_TYPE.x","N_TYPE_DES","ROAD_ROUTE","RD_NAME_1","RD_TYPE_1","RD_NAME_2","RD_TYPE_2","DEC_RD_DES","LGA_NAME.x","REGION_NAM","STAT_DIV_N","AMG_X","AMG_Y","NODE_ID.y","NODE_TYPE.y","VICGRID94_X","VICGRID94_Y","LGA_NAME.y","LGA_NAME_ALL","REGION_NAME","DEG_URBAN_NAME","Lat","Long","POSTCODE_NO"
"1","T20190000343",2508784.628,2516983.511,884,"2019/01/07 00:00:00+00","02.:4.00",1,4,"Collision with a fixed object","A","A",64,2,"Drivers","M","On MITCHELLSTOWN ROAD 776m N from Int RIDGWAY STREET",344256,"N","N","Non Intersection",9999,"MITCHELLSTOWN","ROAD","RIDGWAY","STREET","Non Declared Road","STRATHBOGIE","NORTH EASTERN REGION","Country",2508784.628,2516983.511,344256,"N",2508784.628,2516983.511,"STRATHBOGIE","STRATHBOGIE","NORTH EASTERN REGION","RURAL_VICTORIA",-36.84689861,145.0985082,3608
"2","T20190000403",2289855.928,2692574.022,885,"2019/01/07 00:00:00+00","12.:4.00",2,1,"Collision with vehicle","A","A",61,2,"Drivers","M","On CALDER HIGHWAY 847m N from Int PIER MILLAN-CHINKAPOOK ROAD",340985,"N","N","Non Intersection",2530,"CALDER","HIGHWAY","PIER MILLAN-CHINKAPOOK","ROAD","Declared Road","BULOKE","NORTHERN REGION","Country",2289855.928,2692574.022,340985,"N",2289855.928,2692574.022,"BULOKE","BULOKE","NORTHERN REGION","RURAL_VICTORIA",-35.24154,142.6917099,3533
"3","T20190000564",2148445.421,2795369.709,886,"2019/01/10 00:00:00+00","18.:5.00",1,4,"Collision with a fixed object","A","A",51,4,"Motorcyclists","M","On STURT HIGHWAY 1956m E from Int MORKALLA NORTH ROAD",342919,"N","N","Non Intersection",2610,"STURT","HIGHWAY","MORKALLA NORTH","ROAD","Declared Road","MILDURA","WESTERN REGION","Country",2148445.421,2795369.709,342919,"N",2148445.421,2795369.709,"MILDURA","MILDURA","WESTERN REGION","RURAL_VICTORIA",-34.27497685,141.18498,3490
"4","T20190000642",2476358.626,2402870.197,887,"2019/01/11 00:00:00+00","16.:0.00",2,1,"Collision with vehicle","A","B",47,4,"Motorcyclists","F","On PRINCES FREEWAY 74m W from Int FORSYTH-PRINCES OUT RAMP ON",341128,"N","N","Non Intersection",2500,"PRINCES","FREEWAY","FORSYTH-PRINCES OUT ON","RAMP","Declared Road","WYNDHAM","METROPOLITAN NORTH WEST REGION","Melbourne - West",2476358.626,2402870.197,341128,"N",2476358.626,2402870.197,"WYNDHAM","WYNDHAM","METROPOLITAN NORTH WEST REGION","MELB_URBAN",-37.87495307,144.7312813,3030
"5","T20190000643",2595972.695,2499034.028,888,"2019/01/11 00:00:00+00","21.:2.00",1,4,"Collision with a fixed object","A","A",20,2,"Drivers","M","On MIDLAND HIGHWAY 1111m NW from Int DUERAN LANE",341152,"N","N","Non Intersection",2590,"MIDLAND","HIGHWAY","DUERAN","LANE","Declared Road","MANSFIELD","NORTH EASTERN REGION","Country",2595972.695,2499034.028,341152,"N",2595972.695,2499034.028,"MANSFIELD","MANSFIELD","NORTH EASTERN REGION","RURAL_VICTORIA",-37.00380646,146.0784439,3722
"6","T20190000720",2533471.257,2566036.982,889,"2019/01/13 00:00:00+00","07.:0.00",1,4,"Collision with a fixed object","A","A",52,4,"Motorcyclists","M","On WATT ROAD 427m W from Int RIVERVIEW DRIVE",341129,"N","N","Non Intersection",9999,"WATT","ROAD","RIVERVIEW","DRIVE","Non Declared Road","SHEPPARTON","NORTH EASTERN REGION","Country",2533471.257,2566036.982,341129,"N",2533471.257,2566036.982,"SHEPPARTON","SHEPPARTON","NORTH EASTERN REGION","SMALL_CITIES",-36.40425178,145.3731787,3631
"7","T20190000761",2504606.148,2416385.193,890,"2019/01/13 00:00:00+00","17.:3.00",3,1,"Collision with vehicle","A","3",84,3,"Passengers","F","At Int of BELL STREET and ALFRED STREET",35425,"I","I","Intersection",2400,"BELL","STREET","ALFRED","STREET","Declared Road","BANYULE","METROPOLITAN NORTH WEST REGION","Melbourne - North East",2504606.148,2416385.193,35425,"I",2504606.148,2416385.193,"BANYULE","BANYULE","METROPOLITAN NORTH WEST REGION","MELB_URBAN",-37.75347164,145.0522714,3081
"8","T20190001073",2427292.091,2434037.593,891,"2019/01/18 00:00:00+00","14.:3.00",1,4,"Collision with a fixed object","A","A",41,4,"Motorcyclists","M","On WESTERN FREEWAY 448m W from Int RACECOURSE ROAD",582245,"N","N","Non Intersection",2520,"WESTERN","FREEWAY","RACECOURSE","ROAD","Declared Road","MOORABOOL","WESTERN REGION","Ballarat",2427292.091,2434037.593,582245,"N",2427292.091,2434037.593,"MOORABOOL","MOORABOOL","WESTERN REGION","RURAL_VICTORIA",-37.59159226,144.1766507,3342
"9","T20190001196",2215075.906,2356547.776,892,"2019/01/20 00:00:00+00","21.:3.00",2,1,"Collision with vehicle","A","A",20,4,"Motorcyclists","M","On PRINCES HIGHWAY 232m E from Int LIVINGSTON ROAD",341344,"N","N","Non Intersection",2500,"PRINCES","HIGHWAY","LIVINGSTON","ROAD","Declared Road","GLENELG","SOUTH WESTERN REGION","Country",2215075.906,2356547.776,341344,"N",2215075.906,2356547.776,"GLENELG","GLENELG","SOUTH WESTERN REGION","RURAL_VICTORIA",-38.24868169,141.7446711,3285
"10","T20190001325",2465556.362,2426850.169,893,"2019/01/22 00:00:00+00","19.:5.00",1,4,"Collision with a fixed object","A","A",62,4,"Motorcyclists","M","On CROXTON DRIVE 152m N from Int HERBERT PLACE",341392,"N","N","Non Intersection",9999,"CROXTON","DRIVE","HERBERT","PLACE","Non Declared Road","MELTON","METROPOLITAN NORTH WEST REGION","Melbourne - West",2465556.362,2426850.169,341392,"N",2465556.362,2426850.169,"MELTON","MELTON","METROPOLITAN NORTH WEST REGION","SMALL_CITIES",-37.65855275,144.6096166,3337
